Название,Жанр,Режиссер,Страна,Год,qw
Легенда мумии,фильм ужасов,"Джеффри Оброу, англ.), рус.",США,1997,1
Zapped. Волшебное приложение,"фэнтези, комедия",Питер ДеЛуис,США,2014,1
Легенда Карпат,"приключенческий, исторический, драма",Сергей Скобун,Украина,2018,1
Ziggy Stardust and the Spiders from Mars,"документальный фильм, музыкальный фильм","Донн Алан Пеннебейкер, англ.), рус.",Великобритания,1973,1
Лейтенант Хорнблауэр: Раки и лягушатники,"исторический, военный, драма",Эндрю Грив,Великобритания,"2 апреля, 1999",1
"Лейтенант (фильм, 2015)",драма,Евгений Эпштейн,Россия,2015,1
Лейла (фильм),драматический фильм,Дариюш Мехрджуи,Иран,1996,1
Лейли и Меджнун (фильм-балет),фильмбалет,"Татьяна Березанцева, Гафар ВаламатЗаде",СССР,1959,1
Лезвие (фильм),"боевик, драма",Цуй Харк,Гонконг,1995,1
Ледяные пауки,"фантастика, фильм ужасов",Тибор Такач,США,2007,1
Лезвия славы: Звездуны на льду,комедия,"Джош Гордон, Уилл Спек",США,2007,1
Ледяные пираты,фантастика,Стюарт Рэффилл,США,"1984, 27 июля, 1984",1
Свидетель в городе,детективный триллер,Эдуар Молинаро,"Франция, Италия",1959,1
Свидетельство о бедности,детектив,Самвел Гаспаров,СССР,1978,1
Свидетель обвинения,детектив,Билли Уайлдер,США,1957,1
"Свидетельство (фильм, 1995)",документальный фильм,Годфри Реджио,США,1995,1
Свидетель убийства,Фильм нуар,Рой Роулэнд,США,1954,1
"Свидетель (фильм, 2023)","военная драма, российская пропаганда",Давид Дадунашвили,Россия,2023,1
Свидетель на свадьбе,романтическая комедия,Стефан Шварц,Великобритания,2005,1
"Свидетель (фильм, 1999)","триллер, драма",Стефан Эллиотт,"Канада, Великобритания",1999,2
"Свидетель (фильм, 1985)","триллер, мелодрама",Питер Уир,США,1985,1
"Свидетель (фильм, 1981)",триллер,Питер Йетс,США,1981,1
"Свидетель (фильм, 1969)",Сатирическая комедия,Петер Бачо,Венгрия,1969,1
Свидетели Путина,документальный,Виталий Манский,"Латвия, Швейцария, Чехия, Германия",2018,1
"Свидетели (фильм, 2007)",драма,Андре Тешине,Франция,2007,1
Свидетель (телефильм),драма,Валерий Рыбарев,СССР,1986,1
"Свидетели (фильм, 2018)","Драма, Исторический",Константин Фам,"Россия, Беларусь, Чехия, Франция, Польша, Израиль",2018,1
Свидание со страстью,комедия,Марино Джиролами,Италия,1975,1
Свидание со смертью (фильм),детектив,Майкл Уиннер,"Великобритания, США",1988,1
"Свидание со смертью (фильм, 1959)",Фильм нуар,Гарольд Дэниелс,США,1959,1
Свидание с тенью,Фильм нуар,Ричард Карлсон,США,1957,1
Свидание со звездой,комедия,Роберт Лукетич,США,2004,1
Свидание с удачей,комедия,Эмиль Э. Рейнерт,Франция,1950,1
Свидание с Соколом,"Детективный фильм, Комедия",Ирвинг Рейс,США,1942,1
Свидание с опасностью,нуар,Льюис Аллен,США,1952,1
Свидание с молодостью,мелодрама,Валентин Попов,СССР,1982,2
Свидание с Джуди,музыкальный фильм,Ричард Торп,США,1948,1
Свидание по объявлению,комедия,Альфред Коллинс,,1904,1
Свидание на Млечном пути,драма мелодрама военный экранизация,Янис Стрейч,СССР,1985,1
Свидание на одну ночь,драма,Майк Фиггис,США,1997,1
Свидание моей мечты,комедия,Грег Кулидж,США,2006,1
"Свидание вслепую (фильм, 2006, США, реж. Стюарт Уэйд)",комедия,Стюарт Уэйд,США,2006,1
"Свидание вслепую (фильм, 2006, США, реж. Джеймс Кич)","комедия, романтическая комедия",Джеймс Кич,США,2006,1
"Свидание вслепую (фильм, 1987)",комедия,Блейк Эдвардс,США,1987,1
"Свидание вслепую (фильм, 1959)",мистический фильм,Джозеф Лоузи,Великобритания,1959,1
Свидание в июле,Драма,Жак Беккер,Франция,1949,1
"Свидание (фильм, 1976)",роудмуви,Клод Лелуш,Франция,1976,1
"Свидание (фильм, 1982)",драма,Александр Итыгилов,СССР,1982,2
"Свидание (фильм, 1969)","драма, экранизация",Сидни Люмет,США,1969,1
"Свечка, яркая как солнце",детский фильм,Луция Лочмеле,СССР,1986,1
Свидание Бостонского Блэки,"Детективный фильм, Комедия",Артур Дрейфусс,США,1945,1
Свечи на Бей стрит,драма,Джон Эрман,"Канада, США",,1
Светская жизнь (фильм),"комедия, мелодрама",Вуди Аллен,США,2016,1
"Ребро Адама (фильм, 1923)","драматический фильм, немое кино",Сесил Блаунт Демилль,США,"24 сентября, 1923",1
Ребёнок к ноябрю,Комедия,Александр Павловский,Украина,1992,1
Ребёнок напрокат,комедия,Фред Гербер,США,1995,1
Ребёнок из стекла,фэнтезийный фильм,Джон Эрман,США,1978,1
Ребёнок ждёт,драма,Джон Кассаветис,США,1963,1
"Ребёнок (фильм, 1967)",драма военный экранизация,Николай Мащенко,СССР,1967,1
Ребёнок Розмари,психологический фильм ужасов,Роман Полански,США,1968,1
Ребёнку дают слабительное,Комедия,Жан Ренуар,Франция,1931,1
"Ребекка с фермы Саннибрук (фильм, 1917)",комедия,Маршалл Нилан,США,1917,1
"Ребекка (фильм, 2020)",триллер,Бен Уитли,"Великобритания, США",2020,1
"Ребекка (фильм, 1997)",триллер,Джим О'Брайан,Великобритания,1997,1
"Ребекка (фильм, 1940)",триллер,Альфред Хичкок,США,"1940, 1 октября, 1940, 12 апреля, 1940",1
"Ребекка (фильм, 1962)",драма,Борис Сагал,США,"8 апреля, 1962",1
Реаниматор,фильм ужасов,Стюарт Гордон,США,"1985, 18 октября, 1985",1
Реальный папа,"комедия, семейный",Сергей Бобров,Россия,2008,1
Реальные упыри,"комедия, фильм ужасов, псевдодокументалистика","Тайка Вайтити, Джемейн Клемент","Новая Зеландия, США",2014,1
Реальные пацаны против зомби,зомбикомедия,Жанна Кадникова,Россия,2020,1
Реальный Слендермен,документальный,Айрин Тейлор Бродски,США,"11 марта 2016, 23 января 2017 ТВ)",1
Реальные парни (фильм),"криминальная, комедия",Фишер Стивенс,США,2012,1
Реальные кабаны,"комедия, роудмуви",Уолт Беккер,США,2007,1
Реальные девчонки,комедия,Марта Кулидж,США,2006,1
Реальные воспоминания международного убийцы,"драма, криминал, комедия",Джефф Уодлоу,США,11 ноября 2016,1
Реальность кусается,"комедия, мелодрама, драма",Бен Стиллер,США,1994,1
Реальность (фильм),"драма, комедия",Маттео Гарроне,"Италия, Франция",2012,1
Реальная сказка,"комедия, триллер",Андрей Мармонтов,Россия,2011,1
Реальная любовь в Нью-Йорке,драма,Лоне Шерфиг,"Дания, Канада, Швеция, Франция, Германия, Великобритания, США",2019,1
Реальная история Уиннер,биографический фильм,Сюзанна Фогель,"Канада, США",2024,2
Реальная любовь,трагикомедия,Ричард Кёртис,"Великобритания, США",2003,1
Реалити (фильм),"драматический фильм, биографический фильм",Tina Satter,США,"18 февраля, 2023, 29 мая, 2023, 30 мая, 2023, 2 июня, 2023, 28 июня, 2023, 16 августа, 2023",1
Ре-цикл,"фэнтези, фильм ужасов, триллер","Оксид Пан, Дэнни Пан","Гонконг, Таиланд",2006,1
Рваные башмаки,драма,Маргарита Барская,СССР,1933,1
Рашн Юг,"комедия, мелодрама",Антон Федотов,Россия,2021,1
Рафферти (фильм),драма,Семён Аранович,СССР,1980,1
Расщепление Адама,"семейный фильм, комедия",Скотт МакЭбой,США,2015,1
Расчленитель (фильм),ужасы,"Бадди Купер, Джон Дуглас",США,1984,1
Ратили,драма фильмбиография,Георгий Калатозишвили,"СССР, Чехословакия",1983,1
Светлый путь (фильм),"музыкальная, комедия",Григорий Александров,СССР,1940,1
Светлый ангел,драма,Майкл Филдс,США,1991,1
Светлые ожидания,драма экранизация,Юрий Сергеев,СССР,1975,1
Светлое Рождество (фильм),"романтическая комедия, музыкальный фильм",Майкл Кёртис,США,1954,1
Светлые нивы,"драма, соцреализм",Эугениуш Ценкальский,Польша,1947,1
Светлое будущее 3: Любовь и смерть в Сайгоне,боевик,Цуй Харк,Гонконг,1989,1
Светлое будущее 2: Ураганный огонь,"боевик, криминальный фильм",Джон Ву,Гонконг,1987,1
Светлое будущее (фильм),боевик,Джон Ву,Гонконг,1986,1
Светловолосое дитя,"Ужасы, Мистика",Уильям Мэлоун,США,2005,2
Светлая прохлада,комедия,Эрнест Абдыжапаров,Кыргызстан,2007,1
Светлая личность (фильм),"музыкальная, комедия",Александр Павловский,СССР,1989,1
"Светит, да не греет (фильм, 1911)",,Пётр Иванович Чардынин,Российская империя,1911,1
Светильник матери,"драма, короткометражный фильм",Тофик Исмайлов,Азербайджанская ССР,1970,1
Свет погасших костров,"драма, мелодрама, военный фильм",Тофик ТагиЗаде,"СССР, Азербайджанская ССР",1975,1
Свет над Россией,"историко, -революционный фильм",Сергей Юткевич,СССР,1947,1
Свет на виселице,драма приключения экранизация,Хельмут Ничке,ГДР,1976,1
Свет моей жизни,драма,Кейси Аффлек,США,2019,1
Свет иллюзий,драма,Хирокадзу Корээда,Япония,1995,1
Свет мира (фильм),драма,Ардешир Ирани,Британская Индия,1931,1
Свет во тьме (фильм),"Мелодрама, Приключенческий фильм",Дэвид Зельцер,США,1992,1
Свет женщины,драматический фильм,КостаГаврас,"Франция, Италия, Германия","май, 1979, 29 августа, 1979, 13 сентября, 1979, 15 сентября, 1979, 28 февраля, 1980, 23 марта, 1980, 26 сентября, 1980, 25 октября, 1980, 15 февраля, 1981, 30 сентября, 1983",1
Свет в океане,"исторический фильм, драма, мелодрама",Дерек Сиенфрэнс,"США, Великобритания, Австралия, Новая Зеландия",2016,1
Свет далёкой звезды,мелодрама,Иван Пырьев,СССР,1964,2
Свет в Коорди (фильм),Оптимистическая драма,Герберт Раппапорт,СССР,1951,1
Свет в конце тоннеля,детективный фильм,Алоиз Бренч,СССР,1974,1
Сверхъестественное. Знаки,фантастическая комедия,"Джастин Бенсон, Аарон Мурхед",США,,1
Свет в глаза,фильмдрама,Такуми Фурукава,Япония,1956,1
Сверхновая (фильм),"фантастика, фильм ужасов, триллер","Уолтер Хилл, Фрэнсис Форд Коппола, Джек Шолдер","США, Швейцария",2000,1
"Сверстники (фильм, 1955)","драма, сёмингэки",Хэйноскэ Госё,Япония,1955,1
Сверстницы,Мелодрама,Василий Ордынский,СССР,1959,1
Сверхразумные: Люди с другой планеты,фантастика,Питер Р. Хант,Канада,1986,1
Сверкающие сёдла,"комедия, вестерн",Мел Брукс,США,"1974, 7 февраля, 1974, 20 декабря, 1974",1
"Свенгали (фильм, 1931)","фильм ужасов, фантастика, драма",Арчи Майо,США,1931,1
Свен Туува,"военная, драма, исторический фильм, трагикомедия",Эдвин Лайне,Финляндия,1958,1
Свекровь (фильм),"Кинокомедия, музыкальный фильм",Гусейн Сеидзаде,СССР,1978,1
Свежезахороненные,"комедия, драма",Чаз Торн,Канада,2007,1
Сватовство гусара,"музыкальный фильм, комедийный фильм",Светлана Дружинина,СССР,1979,1
Сведи меня с ума,"романтическая комедия, подростковый фильм, драматический фильм",Джон Шульц,США,"1999, 1 октября, 1999",1
Свеаборг (фильм),"Исторический фильм, драма",Сергей Колосов,"СССР, Финляндия","27 мая, 1972",1
Сватанье на Гончаровке (фильм),фильмспектакль комедия музыкальный экранизация,Игорь Земгано,СССР,1958,1
"Свастика (фильм, 2006)",драматический фильм,Нобору Игути,Япония,2006,1
"Свастика (фильм, 1983)",мелодрама,Хирото Ёкояма,Япония,1983,2
"Свастика (фильм, 1964)",Мелодрама,Ясудзо Масумура,Япония,1964,1
Свадьба упырей,ужасы комедия,Ярослав Соукуп,Чехия,1993,1
"Свалка (фильм, 2014)","драма, триллер, приключения","Стивен Долдри, Кристиан Дуурвоорт","Великобритания, Бразилия",2014,1
Свадьба Туи,драма,Ван Цюаньань,Китай,2006,1
Свадьбы пана Вока,"Комедия, исторический фильм",Карел Стеклы,Чехословакия,1971,1
Свадьба соек (фильм),музыкальный фильм,Евгений Гинзбург,СССР,1984,1
Свадьба с приданым (фильм),музыкальная комедия,"Татьяна Лукашевич, Борис Равенских",СССР,1953,1
Свадьба по обмену,"Комедия, мелодрама",Дмитрий Грачёв,Россия,2011,1
Свадьба по доверенности,мелодрама,Атеф Салем,Египет,1963,1
Свадьба Мюриэл,комедия мелодрама,П. Дж. Хоган,Австралия,1994,1
Свадьба Лины,драма экранизация,Кнуд Лейф Томсен,Норвегия,1973,1
Свадьба лучшего друга,"комедия, мелодрама",Пи Джей Хоган,США,1997,1
"Свадьба Кречинского (фильм, 1974)",музыкальный фильм,Владимир Воробьёв,СССР,,1
"Свадьба Кречинского (фильм, 1908)",Комедия,Александр Дранков,Российская империя,1908,1
Свадьба Дженни,комедия,Мэри Агнес Донохью,США,2015,1
Свадьба во дворце,"музыкальный, кинокомедия",Влад Иовицэ,СССР,1969,1
Свадьба в Малиновке (фильм),музыкальная комедия,Андрей Тутышкин,СССР,1967,1
"Свадьба (фильм, 2017)",мелодрама,Эмиль Грег,"США, Канада",2017,2
Свадьба без колец,драма мелодрама,Владимир Чех,Чехословакия,1972,1
Свадьба Бетси,комедия,Алан Алда,США,1990,1
"Свадьба (фильм, 2016)",драматический фильм,Стефан Стрекер,"Бельгия, Пакистан, Люксембург, Франция","24 августа, 2016",1
"Свадьба (фильм, 2000)","драма, комедия",Павел Лунгин,"Россия, Франция, Германия, Италия",2000,1
"Свадьба (фильм, 1978)",комедия,Роберт Олтмен,США,1978,1
"Свадьба (фильм, 1972)",драма,Анджей Вайда,Польша,1972,1
"Свадьба (фильм, 1964)","мелодрама, комедия",Михаил Кобахидзе,СССР,1964,1
"Свадьба (фильм, 1954)",комедия экранизация,Антонио Петруччи,Италия,1954,1
Свадьба (фильм 1973),фильмы о партизанах,Радомир Шаранович,"СССР, Югославия",1973,1
"Свадьба (фильм, 1944)",комедия,Исидор Анненский,СССР,1944,1
Свадебный угар,комедия,Джейк Зиманский,США,2016,1
Свадебный разгром,комедия,Стефан Эллиотт,,2011,1
"Свадебный подарок, или Всё как у людей",драма,Ричард Брукс,США,1956,1
Свадебный подарок (фильм),"комедия, мелодрама","Ролан Быков, Резо Эсадзе, Александр Игишев",СССР,1982,1
Свадебный переполох,"комедия, драма",Адам Шенкман,США,2001,1
Свадебный марш (фильм),драма,Эрих фон Штрогейм,США,1928,1
Свадебный банкет,"комедия, мелодрама",Энг Ли,"Тайвань, —, США",1993,1
Свадебные путешествия,комедийный фильм,Карло Вердоне,Италия,1995,1
Свадебный выход,Романтическая комедия,Ли Фридлендер,США,2007,1
Свадебная песня,драма,Альфред Деэши,АвстроВенгрия,1918,1
Свадебная вечеринка Эйприл,Романтическая комедия,Триш Дулан,США,2003,1
"Свадебная вечеринка (фильм, 1969)",комедия,"Брайан Де Пальма, Уилфорд Лич, Синтия Манро",США,1969,1
Свадебная ваза,"фильм ужасов, треш, мелодрама",Тьерри Зено,Бельгия,1974,1
Сбрось маму с поезда,комедия,Дэнни Де Вито,США,1987,1
Сбиться с пути,"криминальный фильм, триллер",Франк Кальфун,США,2009,1
Сборщик душ,"триллер, фэнтези",Майкл Рисси,США,1990,1
Сбежавшая невеста,"комедия, мелодрама",Гарри Маршалл,США,1999,1
Сбежавшая любовь,"комедия, мелодрама",Франсуа Трюффо,Франция,1979,2
Саякбай. Гомер 20 века,Фильмбиография,Эрнест Абдыжапаров,Кыргызстан,2017,1
Сашко (фильм),киноповесть,Евгений Брюнчугин,СССР,1958,1
Сашка. Дневник солдата,Военная драма,Кирилл Зайцев,Россия,2021,1
Сашка-семинарист (фильм),авантюрноприключенческий,"Чеслав Сабинский, Яков Протазанов, ?)",Российская империя,1915,1
Сашка (фильм),"военная, драма",Александр Сурин,СССР,1981,1
Расчленённый (фильм),фильм ужасов,Карл Бессай,Канада,2005,1
Расчёт (фильм),"драма, триллер",Петер Ян Брюгге,США,2004,1
Расцвет мисс Джин Броди (фильм),"комедия, драма, мелодрама",Рональд Ним,Великобритания,1969,1
Расцвет (фильм),"комедия, драма, мистика",Кевин Пэлис,США,2006,1
Растин (фильм),"драматический фильм, биографический фильм, ЛГБТфильм",Джордж Вулф,США,2023,1
Растерзанная Армения,"драма, мелодрама",Оскар Апфэль,США,1919,1
"Расстанемся, пока хорошие",драма,Владимир Мотыль,СССР,1991,2
Расстояние (фильм),драма,Хирокадзу Корээда,Япония,2001,1
Раст (фильм),вестерн,Джоэл Соуза,США,,2
Рассчитаемся после смерти,"Фильм нуар, Триллер",Джон Кромвелл,США,1947,1
Расставания,киноповесть,Гавриил Егиазаров,СССР,1984,1
Рассмешите клоуна,мелодрама,Николай Рашеев,СССР,1984,1
Расследования моей жены,"детектив, комедия",Владимир Чех,Чехословакия,1972,1
"Расследование (фильм, 2006)","драма, исторический",Джулио Базе,"Италия, Испания, США, Болгария",2006,1
Рассказы о любви,драма экранизация,Артур Войтецкий,СССР,1980,1
"Расследование (фильм, 1980)",детективный фильм,Михаил Рык,СССР,1980,1
Рассказы Русалочки,фэнтези,"Крис Бушар, Блейк Дж. Харрис",США,2018,2
Рассказы о Кешке и его друзьях,Детский,Радомир Василевский,СССР,1974,1
Рассказы о Ленине (фильм),"драма, биография",Сергей Юткевич,СССР,1957,1
Рассказы (фильм),"драма, комедия",Михаил Сегал,Россия,2012,1
Рассказчик фильмов,"комедийная драма, экранизация романа",Лоне Шерфиг,"Франция, Испания, Чили","21 октября, 2023",2
Рассказ о семи повешенных (фильм),драматический фильм,"Николай Салтыков, Пётр Чардынин",СССР,1924,1
Рассказ о моём друге,документальный,И. Рассомахин,СССР,1971,1
Рассказ о любимой жене,драма,Канэто Синдо,Япония,1951,1
Рассказ о простой вещи,драма,Леонид Менакер,СССР,1975,1
Рассказ неизвестного человека (фильм),драматический фильм,Жалакявичюс Витаутас Пранович,СССР,1981,1
Рассказ о командире танка Нисидзуми,военная драма,Кодзабуро Ёсимура,Япония,1940,1
Рассказ домовладельца,драма,Ясудзиро Одзу,Япония,1947,1
"Рассказ (фильм, 2018)",драма,"Дженнифер Фокс, англ.), рус.",США,2018,1
Расскажи это пчёлам,"Драма, Мелодрама",Аннабел Дженкел,Великобритания,2018,1
Рассеянный,комедия,Пьер Ришар,Франция,1970,1
Расскажи мне о дожде,"комедийная драма, драматический фильм",Аньес Жауи,Франция,2008,1
Рассекая волны,"психологическая, мелодрама",Ларс фон Триер,Дания,1996,1
Рассерженный гость,"боевик, драма",Чжан Чэ,Гонконг,1972,1
Рассвет халифата и возвращение золотого динара,документальный фильм,,Исламское государство,2015,1
Рассвет наизнанку,"драма, биография",Софи Марсо,Франция,1995,1
"Рассвет мертвецов (фильм, 2004)","фильм ужасов, триллер, боевик, фантастика, драма",Зак Снайдер,"США, Канада, Япония, Франция",2004,1
"Рассвет мертвецов (фильм, 1978)",фильм о зомби,Джордж Ромеро,"США, Италия","2 сентября, 1978, 2 августа, 1979, 13 апреля, 1979, июнь, 1979",2
Рассвет великой степи,,,Казахстан,,1
Рассвет 15 августа,"военная, драма",Хидэо Сэкигава,Япония,1952,1
"Рассвет (фильм, 2024)",фильм ужасов,Эндрю Бэйрд,"США, Великобритания",2024,2
Рассвет зулусов,военная драма,Дуглас Хикокс,"ЮАР, США, Великобритания, Нидерланды",1979,1
"Рассвет (фильм, 2019)",фильм ужасов,Павел Сидоров,Россия,2019,1
"Рассвет (фильм, 1993)","фантастика, драма, мелодрама, боевик",Стивен Толкин,США,1993,1
"Рассвет (фильм, 1954)",драматический фильм,Виктор Туржанский,ФРГ,1954,1
"Рассвет (фильм, 1933)","драма, военный","Вернон Севелл, Густав Учицки",Германия,1933,1
Распятый остров,военный фильм драма,Шота Манагадзе,СССР,1968,1
Распутное лето,кинокомедия,Каспер Андреас,США,2004,1
Распутники,комедияфарс,Габриэль Агийон,Франция,2004,1
"Распутник (фильм, 2004)",драма,"Лоренс Данмор, ru, en",Великобритания,2004,1
"Распутник (фильм, 2000)",эксцентрическая комедия,Габриэль Агийон,Франция,2000,1
Распутная императрица,"историческая, драма, мелодрама",Джозеф фон Штернберг,США,1934,1
"Распутин, безумный монах",Ужасы,Дон Шарп,Великобритания,1966,1
Распутин и императрица,"историческая, драма",Ричард Болеславский,США,1932,1
"Распутин (фильм, 1996)","биографический, исторический, драма",Ули Эдель,"США, Венгрия",,1
"Распутин (фильм, 2011)","фильмбиография, драма, исторический",Жозе Дайан,"Россия, Франция",2011,2
"Распутин (фильм, 2010)",фильмтриллер,Луис Неро,Италия,2011,1
Распрощайся с завтрашним днём,"нуар, Гангстерский триллер",Гордон Дуглас,США,1950,1
Распутное детство,"драма, мелодрама, эротика",Пьер Джузеппе Мурджа,"ФРГ, Италия",1977,1
Расправь крылья,"приключения, драма",Николя Ванье,"Франция, Норвегия",2019,1
"Расплата (фильм, 2016)","боевик, триллер",Гэвин О’Коннор,США,2016,1
"Расплата (фильм, 2010)","драма, триллер",Джон Мэдден,США,2010,1
"Расплата (фильм, 1995)",триллер,Энтони Хикокс,США,1995,1
"Расплата (фильм, 1999)","триллер, криминал, драма, боевик, нуар, чёрная комедия","Хелгеленд Брайан, Мир Джон",США,1999,1
Расплавленное тело,"фильм ужасов, биопанк","Филип Брофи, англ.), рус.",Австралия,1993,2
Расписание на завтра,"драма, мелодрама, киноповесть, детский сeмeйный",Николай Александро́вич,СССР,1976,1
Распад (фильм),"драма, трагедия, фильмкатастрофа",Михаил Беликов,СССР,1990,1
Расписание на послезавтра,"драма, киноповесть",Игорь Добролюбов,СССР,1978,1
Раскрепощение,"комедийная драма, чёрная комедия",Дэвид О. Расселл,США,1994,1
Раскрашенная птица (фильм),драма,Вацлав Мархоул,"Чехия, Словакия, Украина",2019,1
"Расмус-бродяга (фильм, 1978)",приключенческий фильм,Мария Муат,СССР,1978,1
Раскрашенные лица,"драма, биопик",Алекс Ло,Гонконг,1988,1
Раскрашенная кожа,"драма, фэнтези",Гордон Чан,"Гонконг, Китай",2008,1
Раскопки (фильм),,Саймон Стоун,"Великобритания, США",2021,1
Раскоп,"драматическая, комедия",Сергей Дахин,Россия,2014,1
"Расколотое небо (фильм, 2006)",драма,Хулиан Эрнандес,Мексика,2006,1
Раскаты грома (фильм),"боевик, триллер, драма, детективный фильм",Джон Флинн,США,1977,1
"Расколотое небо (фильм, 1979)",военный,Анатолий Иванов,СССР,,1
Раскалённая суббота,криминальная драма,Александр Митта,Россия,2002,1
"Раскаявшийся (фильм, 2010)",Криминальная драма,Оливье Гиньяр,,2010,1
Раскалённая лагуна,"детектив, боевик",Саймон Лэнгтон,США,1987,1
Расёмон (фильм),дзидайгэки,Акира Куросава,Япония,1950,1
"Раса господ (фильм, 1974)",драма,Пьер ГраньеДефер,"Франция, Италия",1974,1
"Раса господ (фильм, 1944)",военный драма,Герберт Биберман,США,1944,1
Раптор (фильм),"ужасы, научная фантастика, экшн",Джим Уайнорски,США,2001,1
Рапсодия Майами,комедия,Дэвид Френкель,США,1995,1
Рапсодия (фильм),мелодрама,Чарльз Видор,США,1954,1
Рапсодия Балтики,драма,Леонард Бучковский,Польша,1935,1
Рапа Нуи (фильм),приключенческий фильм,Кевин Рейнольдс,США,1994,1
Ранэвэйс,"музыкальный фильм, драма, биография",Флория Сигизмонди,США,2010,1
"Раньше, сейчас и потом",драматический фильм,Камила Андини,Индонезия,"2022, 1 августа, 2022",1
Раны земли нашей,драма исторический,Марионас Гедрис,СССР,1971,1
Саша-Сашенька,комедия,Виталий Четвериков,СССР,1966,1
Раньше было другое время,,Алексей Балабанов,СССР,1987,1
Сахаров (фильм),"биографическая, драма",Джек Голд,США,"20 июня, 1984",1
"Саша (фильм, 2022)","драматический фильм, история взросления",Владимир Бек,Россия,2022,1
"Сахара (фильм, 2005)","приключения, комедия",Брек Айснер,США,2005,1
"Сахара (фильм, 1995)","боевик, военный фильм",Брайан ТренчардСмит,"Австралия, США",1995,1
"Сахара (фильм, 1983)","боевик, приключения",Эндрю В. МакЛаглен,США,1983,1
"Сахара (фильм, 1943)","боевик, драма, военный фильм",Золтан Корда,США,"1943, 11 ноября, 1943",1
"Сахар (фильм, 2014)",документальный фильм,Дамон Гамо,Австралия,"29 октября, 2015, 20 ноября, 2014",1
Сафо (фильм),"эротическая, мелодрама",Роберт Кромби,Украина,2008,1
Сахар и перец,комедия,Фрэнсин МакДугалл,США,2001,1
"Сахар (фильм, 2011)","короткометражный, комедия, драма",Вадим Данцигер,"Израиль, Россия",2011,1
Саутсайд 1-1000,Фильм нуар,Борис Ингстер,США,1950,1
Сауна (фильм),"хоррор, исторический фильм",АнттиЮсси Аннила,Финляндия,2008,1
Сатурн-3,"приключенческий фильм, фантастика, триллер",Стэнли Донен,Великобритания,"1980, 26 апреля, 1985",1
"Сатисфакция (фильм, 2011)",мелодрама,Анна Матисон,Россия,2011,1
Сатирикон (фильм Федерико Феллини),драма,Федерико Феллини,"Италия, Франция",1969,1
Сатурн в противофазе,"комедийная драма, ЛГБТфильм, романтический фильм",Ферзан Озпетек,"Италия, Франция",2006  5 июня 2008,1
Сатирикон (фильм Джана Луиджи Полидоро),трагикомедия,Джан Луиджи Полидоро,Италия,1969,1
Сатанинское танго (фильм),драма,Бела Тарр,"Венгрия, Германия",1994,1
Сатанинское зелье,комедийная драма,Райнер Вернер Фасбиндер,ФРГ,1976,1
Сатанизм (фильм),фильм ужасов,Дэн Голден,США,2006,1
Сатана ликующий,"трагедия, немое кино",Яков Протазанов,"Российская республика, Российская империя",1917,1
"Сатана (фильм, 2007)",драма,Андрес Байс,"Колумбия, Мексика",2007,1
Сатана встречает леди,"Криминальная мелодрама, Комедия",Уильям Дитерле,США,1936,1
"Сатана из седьмого класса (фильм, 1959)",Приключения,Мария Каневская,Польша,1960,1
"Сатана (фильм, 1920)",драма,Фридрих Вильгельм Мурнау,Германия,1920,1
